saleDate,SaleItem,Country,Quantity
30-05-2024,Printer,India,5
06-10-2024,Headphones,Germany,4
01-12-2024,Smartphone,Canada,17
17-07-2024,Monitor,UK,4
02-10-2024,Keyboard,Australia,10
03--2024,Smartwatch,Canada,8
19-06-2024,Laptop,Germany,20
14-07-2024,Smartphone,India,9
18-08-2024,Keyboard,Germany,1
20-12-2024,Smartwatch,Canada,19
26-10-2024,Tablet,USA,10
10-07-2024,Headphones,South Africa,12
02-04-2024,Headphones,France,14
12-10-2024,Router,Japan,2
11-06-2024,Printer,South Africa,6
29-08-2024,Keyboard,USA,3
10-04-2024,Headphones,Canada,15
15-08-,Smartphone,India,1
19-09-2024,Keyboard,Germany,1
27-08-2024,Printer,USA,16
09-06-2024,Laptop,Japan,19
09-11-2024,Keyboard,South Africa,8
15-01-2024,Router,Germany,4
19-07-2024,Mouse,Japan,8
22-05-2024,Router,Brazil,4
,Mouse,UK,2
05-03-2024,Tablet,USA,10
08-09-2024,Smartphone,Canada,2
11-09-2024,Tablet,Australia,15
30-03-2024,Printer,Brazil,19
12-10-2024,Router,UK,12
27-05-2024,Headphones,Australia,19
,Keyboard,UK,13
17-11-2024,Smartwatch,Japan,15
23-12-2024,Smartphone,UK,9
,Keyboard,Japan,13
21-01-2024,Monitor,Germany,14
17-04-2024,Keyboard,France,14
25-02-2024,Keyboard,South Africa,11
31-03-2024,Router,Germany,10
